prompt_name,keywords,prompt_content,prompt_source,language,task_type,Goal,Theme,career
final message,Emotion of text,"Consider this textual dialogue of 3 messages between 2 participants who took turns to talk:

""{{text}}""""

What would you say is the underlying emotion of the final message in this dialogue? {{""happy""}}, {{""sad""}}, {{""angry""}}, or {{""something else""}}?",promptsource,English,closed-ended question,Informational/Identification,emotion,all
what emotion do you think,Emotion classification,"""{{text}}""

What emotion do you think was felt by the speaker of the last utterance of this dialogue? {{answer_choices[1]}}, {{answer_choices[2]}}, {{answer_choices[3]}} or {{answer_choices[0]}}",promptsource,English,closed-ended question,Emotional/Affective,emotion,all
emotional state,Emotion classification,"Consider this short dialogue:

{{text}}

How would you describe the emotional state of the last person to speak? {{answer_choices[1]}}, {{answer_choices[2]}}, {{answer_choices[3]}} or {{answer_choices[0]}}",promptsource,English,closed-ended question,Informational/Identification,emotion,all
dialogue between,Emotion classification,"Dialogue between speaker A and B:

{{text}}

How would you say A feels in the last message? Is it {{answer_choices[1]}}, {{answer_choices[2]}}, {{answer_choices[3]}} or {{answer_choices[0]}}?",promptsource,English,closed-ended question,Informational/Identification,sentiment,all
persons infer,Infer emotion,"Person A says something, Person B responds, and then Person A says something. Here's their conversation:

""{{text}}""

What emotion can be inferred from the context and Person A's last message? {{""happy""}}, {{""sad""}}, {{""angry""}}, or  {{""something else""}}?",promptsource,English,reading comprehension,Informational/Identification,emotion,all
spoke last,Emotion detection,"Consider this textual dialogue of 3 messages between 2 participants who took turns to talk:

""{{text}}""

Given the context, what emotion can you detect in the message from the person who spoke last? {{""happy""}}, {{""sad""}}, {{""angry""}}, or {{""something else""}}?",promptsource,English,reading comprehension,Informational/Identification,emotion,all
feel when last answer,Emotion in dialogue,"""{{text}}""

In this dialogue, what emotion was felt by the first speaker in the final answer? {{answer_choices[1]}}, {{answer_choices[2]}}, {{answer_choices[3]}} or {{answer_choices[0]}}",promptsource,English,reading comprehension,Informational/Identification,emotion,all
feeling,Emotion detection,"""{{text}}""
This was a dialogue exchange between 2 people who took turns to talk. Given the context, which of the following options best describes the emotion that the last speaker is feeling? {{""happy""}}, {{""sad""}}. {{""angry""}}, or {{""something else""}}?",promptsource,English,closed-ended question,Informational/Identification,emotion,all
in this dialogue,Emotion detection,"In the dialogue below, would you say the first speaker feels {{answer_choices[1]}}, {{answer_choices[2]}}, {{answer_choices[3]}} or {{answer_choices[0]}} when the last sentence is uttered?
{{text}}",promptsource,English,reading comprehension,Informational/Identification,emotion,all
choose the best emotion label,Text to emotion,{{text}}. The emotion expressed for the message is,promptsource,English,emotion classification,Emotional/Expression,emotion,all
reply with emoation label,Emotion detection,{{text}}. What is the emotion expressed in this message?,promptsource,English,reading comprehension,Informational/Identification,sentiment analysis,all
answer with class label,Emotion detection,What emotion does the following message express? {{text}},promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,all
answer question with emotion label,Text to emotion,{{text}}. How will you feel about the message?,promptsource,English,sentiment analysis,Writing/Expression,sentiment,all
select emotion label from list,Emotion detection,"'Given the message: {{text}}.

Out of the options, {{""sadness""}}, {{""joy""}}, {{""love""}}, {{""anger""}}, {{""fear""}} and {{""surprise""}},

the emotion in the message is",promptsource,English,closed-ended question,Informational/Identification,emotion,all
predict the best emotion label,Emotion detection,{{text}}. What emotion does the writer express for the message?,promptsource,English,reading comprehension,Emotional/Expression,sentiment analysis,all
explain the choice,NLI,"Explain why the relation between the following two sentences can be described as {{ [""an entailment"", ""neutral"", ""a contradiction""][label] }}.

Sentence 1: {{premise}}

Sentence 2: {{hypothesis}}",promptsource,English,entailment,Reasoning/Justification,entailment,all
elaborate on the choice,NLI entailment,"Why does the first sentence entail the second?

Why does the first sentence neither entail nor contradict the second?

Why does the first sentence contradict the second?


First sentence:
{{premise}}

Second sentence:
{{hypothesis}}",promptsource,English,entailment,Reasoning/Entailment,entailment,all
provide explaination to the choice,Logic deduction,"Given than:
{{ premise }}

Why is it always true that:

Why it cannot be concluded that:

Why is it necessarily false that:

{{ hypothesis }}",promptsource,English,logical reasoning,Reasoning/Inference,logic,education
determine premise hypothesis relation,NLI,"First sentence: {{ premise }}

Second sentence: {{ hypothesis }}

Determine whether the first sentence {{ ""entails"" }}, {{ ""contradicts"" }} or is {{ ""neutral"" }} with regard to the second.",promptsource,English,entailment,Reasoning/Entailment,entailment,all
premise hypothesis relation,SNLI classification,"Premise: {{ premise }}

Hypothesis: {{ hypothesis }}.

Name the relation between the premise and the hypothesis above. Select the correct option: {{ ""entailment"" }}, {{ ""contradiction"" }} or {{ ""neutral"" }}.",promptsource,English,entailment,Informational/Identification,entailment,all
choose the correct class,NLI,"Determine whether the first sentence {{ ""entails"" }}, {{ ""contradicts"" }} or is {{ ""neutral"" }} with regard to the second.

First sentence: {{ premise }}

Second sentence: {{ hypothesis }}",promptsource,English,entailment,Reasoning/Entailment,entailment,all
determine the relation,NLI,"Describe the relation between the following two sentences. The choices are {{ ""entailment"" }}, {{ ""contradiction"" }} and {{ ""neutral"" }}.

First sentence: {{premise}}

Second sentence: {{hypothesis}}",promptsource,English,entailment,Informational/Identification,entailment,all
does premise imply hypothesis,Implication,"Does this statement:

{{ premise }}

imply that:

{{ hypothesis }}?",promptsource,English,entailment,Reasoning/Inference,logic,all
does premise contradicts hypothesis,Contradiction,"First statement:
{{ premise }}

Second statement:
{{ hypothesis }}

Does the first statement contradict the second?",promptsource,English,contradiction,Reasoning/Contradiction,contradiction,all
relate premise to hypothesis with explanation,Logic deduction,"If we know that:
{{premise}}

Why is it always the case that:

Why it is not necessarily the case that:

Why is it not true that:

{{hypothesis}}",promptsource,English,reading comprehension,Reasoning/Justification,reasoning,all
cbqa fever postprompt,True or False,{{claim}} Is this true?,promptsource,English,closed-ended question,Informational/Identification,fact checking,all
cbqa fever dialog style surrounded all class,Fact check,"I've heard that {{claim}} Is this correct? Yes, No or Not Sure?",promptsource,English,closed-ended question,Informational/Identification,fact checking,all
cbqa fever preprompt,True or False,Is this statement correct? {{claim}},promptsource,English,closed-ended question,Informational/Identification,fact checking,all
cbqa fever dialog style postprompt all class,True or False,"""{{claim}}"", I have heard. Is this Correct? Yes, No or Not Sure?",promptsource,English,closed-ended question,Informational/Identification,fact checking,all
share price option,Sentiment analysis,"Which word between ""{{""negative""}}"", ""{{""neutral""}}"", ""{{""positive""}}"" would you use to describe the effect of the following news on the related share prices?

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,finance,finance
sentiment,Sentiment analysis,"What is the sentiment of the sentence?

{{sentence}}",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,all
word comes to mind,Sentiment analysis,"What word among ""{{""growth""}}"", ""{{""neutral""}}"", ""{{""decline""}}"", comes to your mind when reading the following argument?

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,sentiment,finance
complementary industries,Complementary industries,"What does the following argument mean for the complementary industries?

{{sentence}}",promptsource,English,reading comprehension,Informational/Identification,economics,all
bullish neutral bearish,Sentiment analysis,"Should an investor be ""{{""bullish""}}"", ""{{""neutral""}}"", or ""{{""bearish""}}"" given the following news?

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,finance,finance
sentiment option,Sentiment analysis,"Is the sentiment of the sentence ""{{""negative""}}"", ""{{""neutral""}}"", or ""{{""positive""}}""?

{{sentence}}",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,all
complementary industries option,Complementary industries,"What word among ""{{""growth""}}"", ""{{""neutral""}}"", ""{{""decline""}}"", would you use to describe the effect of the following argument on complementary industries?

{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,business,finance
share price,Sentiment analysis,"What adjective would you use to describe the effect of the following news on the related share prices?

{{sentence}}",promptsource,English,closed-ended question,Writing/Expression,finance,finance
local economy,Word association,"What word would you use to describe the effect of the following argument on the local economy?

{{sentence}}",promptsource,English,closed-ended question,Writing/Expression,economy,finance
inference chain prompt,Question category,"What category best describes the answer to the following question?

Question: {{RawQuestion}}",promptsource,English,categorization,Informational/Identification,classification,all
qa template basic,RawQuestion,"Answer the following question:

{{RawQuestion}}",promptsource,English,closed-ended question,Informational/Identification,trivia,all
seem like a positive review,Positive review,"Does ""{{translation.en}}"" seem like a positive review to you?",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,all
rate positive review,Rate the positivity of this review,"Rate the positivity of this review ({{""1""}} being the lowest and {{""5""}} the highest).\n""{{translation.en}}""",promptsource,English,rating,Rating/Evaluation,sentiment analysis,retail
how positive review,Sentiment analysis,"How positive is the review ""{{translation.en}}""? Give a score between
      {{""0""}} and {{""5""}}.",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,all
scale of positive review,Sentiment analysis,"On a scale from {{""1""}} to {{""5""}}, how positive is the review ""{{translation.en}}""?",promptsource,English,rating,Informational/Identification,sentiment analysis,all
think positive review,Sentiment analysis,"Do you think ""{{translation.en}}"" is a positive review?",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,all
generate summary for this,Generate a title,"{{document}}

===

Generate a title for this article:",promptsource,English,writing title,Writing/Expression,summarization,news
make a title,Summarize a document,Make a title for this article: {{document}},promptsource,English,writing title,Writing/Expression,summarization,news
first sentence title,Summarize a document,"First sentence of the article: {{document}}

Title:",promptsource,English,writing title,Writing/Expression,summarization,news
write its sentence,Write a title,"{{document}}

===

Given the above sentence, write its title:",promptsource,English,writing title,Writing/Expression,summarization,news
write a title for this sentence,Write a title,"Write a title for this sentence: {{document}}

Title:",promptsource,English,writing title,Writing/Expression,summarization,news
write an article,Write an article,"Title: {{summary}}

===

Write an article with the given title:",promptsource,English,writing report,Writing/Expression,writing,news
relationship between hypothesis premise,NLI inference,"The relationship between the following sentences can be characterized as {{answer_choices[0]}} (one sentence implies the other), {{answer_choices[1]}} (the sentences don't necessarily imply or contradict one another), or {{answer_choices[2]}} (the sentences contract each other).
Sentence 1: {{hypothesis}}
Sentence 2: {{premise}}",promptsource,English,reading comprehension,Informational/Identification,entailment,all
based on prem is hypothesis,Necessary or Sufficient,"{{premise}}
Given the above, is it necessarily true that ""{{hypothesis}}""? {{answer_choices[0]}}, {{answer_choices[2]}}, or {{answer_choices[1]}}?",promptsource,English,reading comprehension,Reasoning/Inference,logic,all
does hyp follow from prem,Logic inference,"Consider the hypothesis that ""{{hypothesis}}""
Does this follow from the knowledge that ""{{premise}}""
{{answer_choices[0]}}, {{answer_choices[2]}}, or {{answer_choices[1]}}?",promptsource,English,logical reasoning,Reasoning/Inference,logic,philosophy
does this imply,Implication or contradiction,"{{premise}}
Does the above sentence imply or contradict that ""{{hypothesis}}""? Please answer as ""{{answer_choices[0]}}"", ""{{answer_choices[2]}}"", or ""{{answer_choices[1]}}"".",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
does this support,Support or Refute,"Consider the {{""premise""}}:
Premise: {{premise}}
Does the above premise support the following hypothesis?
Hypothesis: {{hypothesis}}
Please answer as ""{{answer_choices[0]}}"", ""{{answer_choices[2]}}"", or ""{{answer_choices[1]}}"".",promptsource,English,reading comprehension,Informational/Identification,logic,all
Make sense yes no,English grammar,"Does the following sentence make sense and use correct English? Please answer {{""yes""}} or {{""no""}}.
{{sentence}}",promptsource,English,closed-ended question,Writing/Expression,grammar,all
is this correct,Grammar check,"{{sentence}}
Is this example grammatically correct and sensible?",promptsource,English,closed-ended question,Grammar/Syntax,grammar,all
editing,Grammar check,"I'm copy-editing a story for publication. It has the following sentence in it:
{{sentence}}
Does this sentence make sense and is it grammatically correct? Please answer {{""yes or no""}}.",promptsource,English,closed-ended question,Informational/Identification,grammar,writing
Following sentence acceptable,Grammar and spelling,"The following sentence is either ""{{""acceptable""}}"", meaning it is grammatically correct and makes sense, or ""{{""unacceptable""}}"". Which is it?
{{sentence}}",promptsource,English,closed-ended question,Informational/Identification,grammar,all
Previous sentence acceptable,Grammar check,"{{sentence}}
I'm worried that sentence didn't make any sense, or was grammatically incorrect. Was it correct?",promptsource,English,closed-ended question,Writing/Expression,grammar,all
generate paraphrase,Paraphrase sentence,Paraphrase the following sentence: {{sentence1}},promptsource,English,paraphrasing,Writing/Expression,paraphrasing,all
want to know,Sentence similarity,"I want to know whether the following two sentences mean the same thing.
{{sentence1}}
{{sentence2}}
Do they?",promptsource,English,closed-ended question,Informational/Identification,paraphrase,all
paraphrase,Paraphrase detection,"Does the sentence
{{sentence1}}
paraphrase (that is, mean the same thing as) this sentence?
{{sentence2}}",promptsource,English,paraphrase,Informational/Identification,paraphrase,all
equivalent,Equivalence judgement,"Are the following two sentences ""{{""equivalent""}}"" or ""{{""not equivalent""}}""?
{{sentence1}}
{{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,paraphrasing,all
generate sentence,Paraphrase a sentence,Generate a sentence that means the same thing as this one: {{sentence1}},promptsource,English,paraphrasing,Writing/Expression,paraphrasing,all
replace,Replace sentence,"Can I replace the sentence
{{sentence1}}
with the sentence
{{sentence2}}
and have it mean the same thing?",promptsource,English,closed-ended question,Informational/Identification,paraphrasing,all
same thing,Same meaning,"Do the following two sentences mean the same thing?
{{sentence1}}
{{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,paraphrasing,all
have all you need,Sentence completeness,"{{sentence}}
Does that sentence have all you need to answer the question ""{{question}}""?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
based only on,Infer from sentence,"Can you answer the question ""{{question}}"" based only on the following:
{{sentence}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
imply,Implication,"Does knowing that ""{{sentence}}"" imply that I know the answer to ""{{question}}""",promptsource,English,closed-ended question,Informational/Identification,reading comprehension,all
want to know,Is this enough information,"I want to know the answer to the following question:
{{question}}
All the background I'm provided with is that ""{{sentence}}"". Is that enough to answer the question?",promptsource,English,closed-ended question,Informational/Identification,reading comprehension,all
possible to answer,Passage based question,"Consider the passage:
{{sentence}}
and the question:
{{question}}
Is it possible to answer this question based only on the information in the passage? {{""A) yes""}} or {{""B) no""}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
quora,Merge questions,"I'm an administrator on the website Quora. There are two posts, one that asks ""{{question1}}"" and another that asks ""{{question2}}"". I can merge questions if they are asking the same thing. Can I merge these two questions?",promptsource,English,closed-ended question,Informational/Identification,quora,all
duplicate or not,Duplicate questions,"{{question1}}
{{question2}}
Pick one: These questions are ""{{""duplicates""}}"" or ""{{""not duplicates""}}"".",promptsource,English,duplicate detection,Informational/Identification,duplicate questions,all
same thing,Question similarity,"Are the questions ""{{question1}}"" and ""{{question2}}"" asking the same thing?",promptsource,English,closed-ended question,Informational/Identification,question similarity,all
answer,Question similarity,"Can an answer to ""{{question1}}"" also be used to answer ""{{question2}}""?",promptsource,English,closed-ended question,Informational/Identification,question answering,all
meaning,Question similarity,"Question 1: {{question1}}
Question 2: {{question2}}

Do these two questions convey the same meaning? Yes or no?",promptsource,English,closed-ended question,Informational/Identification,paraphrase,all
duplicate,Duplicate questions,"I received the questions ""{{question1}}"" and ""{{question2}}"". Are they duplicates?",promptsource,English,closed-ended question,Informational/Identification,duplicate questions,all
mean,Logic inference,"{{sentence1}}
Does this mean that ""{{sentence2}}"" is true? {{""A) yes or B) no.""}}",promptsource,English,reading comprehension,Informational/Identification,logic,all
does the claim… follow the fact…,Logic follows,"Does the claim ""{{sentence2}}"" follow from the fact that ""{{sentence1}}""? Please answer either {{""yes""}} or {{""no""}}.",promptsource,English,closed-ended question,Informational/Identification,logic,all
entailment explained,NLI entailment,"We say that one sentence ""{{""entails""}}"" another sentence when the first sentence implies the second sentence. Consider the following two sentences:
{{sentence1}}
{{sentence2}}
Is the relationship from the first to the second sentence ""{{""entailment""}}"" or ""{{""not entailment""}}""?",promptsource,English,entailment,Informational/Identification,entailment,all
imply,Implication,"Does ""{{sentence1}}"" imply that ""{{sentence2}}""? Please answer either {{""yes""}} or {{""no""}}.",promptsource,English,closed-ended question,Informational/Identification,entailment,all
imply separated,Implication,"{{sentence1}}
Does this imply
{{sentence2}}
Please answer {{""A) yes or B) no.""}}",promptsource,English,reading comprehension,Informational/Identification,logic,all
positive negative after,Sentiment analysis,"{{sentence}}
Question: Was that sentence {{""positive""}} or {{""negative""}}? Answer:",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,all
review,Sentiment analysis,"I'm reading a review that says ""{{sentence}}"".

Do you think the review is {{""positive""}} or {{""negative""}}?",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,all
said,Sentiment analysis,"Someone just said to me ""{{sentence}}"".

Do you think they are {{""sad""}} or {{""happy""}}?",promptsource,English,closed-ended question,Emotional/Identification,sentiment analysis,all
following positive negative,Sentiment analysis,"Does the following sentence have a {{""positive""}} or {{""negative""}} sentiment?
{{sentence}}",promptsource,English,sentiment analysis,Informational/Identification,sentiment analysis,all
happy or mad,Sentiment analysis,"Someone sent me an email with the sentence ""{{sentence}}"". Do you think they are feeling {{""good""}} or {{""bad""}}?",promptsource,English,closed-ended question,Informational/Identification,sentiment analysis,all
rank,Similarity rating,"Rate on a scale from {{""0.0""}} to {{""5.0""}} how similar the sentences ""{{sentence1}}"" and ""{{sentence2}}"" are.",promptsource,English,similarity rating,Informational/Identification,similarity,all
rate,Similarity rating,"Please rate how similar these two sentences are from {{""0.0""}} to {{""5.0""}}.
Sentence A: {{sentence1}}
Sentence B: {{sentence2}}",promptsource,English,similarity rating,Rating/Evaluation,similarity,all
examples,Similarity score,"Please give me a score denoting the similarity of the following two sentences:
Sentence 1: {{sentence1}}
Sentence 2: {{sentence2}}
Your score should be something like {{""3.4""}}, where {{""0.0 means very dissimilar, 2.5 means kind of similar, and 5.0 means very similar""}}.",promptsource,English,similarity scoring,Evaluation/Comparison,similarity,all
similarity,Similarity score,"I need to know how similar these two passages are:
- {{sentence1}}
- {{sentence2}}

Question: Can you give me a number from {{""0.0 to 5.0""}} that denotes how similar they are, where {{""0.0""}} means totally dissimilar and {{""5.0""}} means extremely similar?
Answer:",promptsource,English,similarity,Informational/Identification,similarity,all
score,Similarity score,"I need to assign a score from {{""0.0 to 5.0""}} that denotes how similar the following two sentences are:
A: {{sentence1}}
B: {{sentence2}}
What score should I assign?",promptsource,English,closed-ended question,Informational/Identification,similarity,all
confident,Bayes Theorem,"If it's true that
{{sentence1}}
how {{""confident""}} should I be that
{{sentence2}}
{{""very confident or not confident?""}}",promptsource,English,reading comprehension,Reasoning/Inference,reasoning,all
entailment explained,Entailment,"{{""Entailment""}} means that the second sentence follows from the first sentence. Are the following two sentences an example of entailment?
{{sentence1}}
{{sentence2}}",promptsource,English,closed-ended question,Informational/Identification,entailment,all
mean,Logic inference,"Assume that the following is true:
{{sentence1}}
Does this mean that ""{{sentence2}}""?",promptsource,English,logical reasoning,Reasoning/Inference,logic,all
justified,Justify a belief,"Someone told me ""{{sentence1}}"" Now, I think that ""{{sentence2}}"" Am I justified in thinking this?",promptsource,English,reading comprehension,Reasoning/Justification,advice,all
imply,Implication,"{{sentence1}}
{{sentence2}}
Does the first sentence imply the second sentence?",promptsource,English,closed-ended question,Reasoning/Inference,entailment,all
wellformed rating,Well formed query,"How would you rate how well-formed is the query ""{{content}}""? ""Well-formed"" means that a natural language system would be able to perform an accurate interpretation. Give a value between 0 and 1.",promptsource,English,rating,Evaluation/Assessment,well-formedness,all
is wellformed affirmative,NL question or not,"John believes that the query ""{{content}}"" resembles a natural language question. Answer {{ answer_choices[0] }} if you agree with John and {{ answer_choices[1] }} if you disagree.",promptsource,English,closed-ended question,Informational/Identification,natural language question,all
is wellformed finding for search,Search engine query,"Is asking search engines ""{{content}}"" good for finding information?",promptsource,English,closed-ended question,Informational/Identification,search engines,all
is wellformed type for search,Search engine query,"Would ""{{content}}"" be a useful query to type in a search engine?",promptsource,English,closed-ended question,Informational/Identification,search engine,all
is wellformed know for search,Search engine query,"Given this query ""{{content}}"", would a search engine know what to look for? {{answer_choices[0]}} or {{answer_choices[1]}}?",promptsource,English,closed-ended question,Informational/Identification,search engine,all
is wellformed interrogative,Informative query,"""{{content}}"" is an informative query, {{answer_choices[0]}} or {{answer_choices[1]}}?",promptsource,English,closed-ended question,Informational/Identification,yes/no,all
article from author topic,GPT2 generate article,"Generate an article based on the writing style of {{
[
  ""Catherine Bennett"",
  ""George Monbiot"",
  ""Hugo Young"",
  ""Jonathan Freedland"",
  ""Martin Kettle"",
  ""Mary Riddell"",
  ""Nick Cohen"",
  ""Peter Preston"",
  ""Polly Toynbee"",
  ""Roy Hattersley"",
  ""Simon Hoggart"",
  ""Will Hutton"",
  ""Zoe Williams""
] [author]
}} on the topic of {{
[
  ""Politics"",
  ""Society"",
  ""UK"",
  ""World"",
  ""Books""
] [topic]
}}.",promptsource,English,writing report,Writing/Expression,writing,news
article from topic,Generate an article,"Generate an article on the topic of {{[
  ""Politics"",
  ""Society"",
  ""UK"",
  ""World"",
  ""Books""
][topic] }}.",promptsource,English,writing report,Writing/Expression,news,news
article from author,GPT2 generate article,"Generate an article based on the writing style of {{
[
  ""Catherine Bennett"",
  ""George Monbiot"",
  ""Hugo Young"",
  ""Jonathan Freedland"",
  ""Martin Kettle"",
  ""Mary Riddell"",
  ""Nick Cohen"",
  ""Peter Preston"",
  ""Polly Toynbee"",
  ""Roy Hattersley"",
  ""Simon Hoggart"",
  ""Will Hutton"",
  ""Zoe Williams""
] [author]
}} .",promptsource,English,writing report,Writing/Expression,writing,news
asking the time reference,Time reference,"Given the following text, what time reference is reported in the text?

{{tok_context}}",promptsource,English,reading comprehension,Informational/Identification,time,all
asking the hour affirmative,Time extraction,"Answer the following question using the passage below: what hour is the phrase ""{{time_phrase}}""? Give the integer answer using 24 hour format.

{{tok_context}}",promptsource,English,reading comprehension,Informational/Identification,time,all
asking AM PM interrogative,Time phrase classification,"Given the passage below, is the phrase ""{{time_phrase}}"" {{answer_choices[0]}} or {{answer_choices[1]}}?

{{tok_context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
asking AM PM affirmative,Time phrase resolution,"There's a time phrase of ""{{time_phrase}}"" in the passage below. Determine whether the time the phrase is referring to is “{{answer_choices[0]}}” or “{{answer_choices[1]}}”.

{{tok_context}}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
asking the hour interrogative,Time phrase to hour,"Given the following text. What hour (between 0 and 23) does the phrase ""{{time_phrase}}"" indicate?

{{tok_context}}",promptsource,English,reading comprehension,Informational/Identification,time,all
asking the hour refer,Time phrase resolution,"There's a time phrase of ""{{time_phrase}}"" in the passage below. What hour does it refer to? Give the integer value between 0 and 23.

{{tok_context}}",promptsource,English,reading comprehension,Informational/Identification,time,all
does this imply,Implication,"{{premise}}

Question: Does this imply that ""{{hypothesis}}""? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,entailment,all
should assume,Assumptions,"Given {{premise}} Should we assume that ""{{hypothesis}}"" is true? Yes or no?",promptsource,English,closed-ended question,Reasoning/Inference,logic,all
based on the previous passage,True or False,"{{premise}} Based on the previous passage, is it true that ""{{hypothesis}}""? Yes or no?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
does it follow that,Logic validity,Given that {{premise}} Does it follow that {{hypothesis}} Yes or no?,promptsource,English,closed-ended question,Reasoning/Inference,logic,all
guaranteed true,NLI binary,"Given {{premise}} Is it guaranteed true that ""{{hypothesis}}""? Yes or no?",promptsource,English,closed-ended question,Reasoning/Inference,logic,programming
must be true,Logic validity,"Given that {{premise}} Therefore, it must be true that ""{{hypothesis}}""? Yes or no?",promptsource,English,closed-ended question,Informational/Identification,logic,all
MNLI crowdsource,Validity of a statement,"{{premise}} Using only the above description and what you know about the world, is ""{{hypothesis}}"" definitely correct? Yes or no?",promptsource,English,closed-ended question,Reasoning/Evaluation,entailment,all
justified in saying,Justify a claim,"{{premise}} Are we justified in saying that ""{{hypothesis}}""? Yes or no?",promptsource,English,closed-ended question,Reasoning/Justification,philosophy,philosophy
GPT 3 style,True or False,"{{premise}}
Question: {{hypothesis}} True or False?",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
can we infer,Infer from premise,"Suppose {{premise}} Can we infer that ""{{hypothesis}}""? Yes or no?",promptsource,English,closed-ended question,Reasoning/Inference,entailment,all
hate or noHate sentiment analysis,Sentiment analysis,{{text}} Is the sentiment the sentence expresses is a {{answer_choices[1]}} speech or {{answer_choices[0]}} speech?,promptsource,English,closed-ended question,Informational/Identification,hate speech,all
claim explanation generation after reading,Claim justification,"After reading:

 {{main_text }}

I  {{[""do not believe"", ""do not think it is completely true that"", ""believe"", ""do not think it has been proven yet that""][label]}}:

{{claim}}

is true because of:",promptsource,English,writing report,Writing/Expression,fact checking,all
claim veracity classification after reading I believe,Summarize and claim,"After reading:

 {{main_text }}

I believe :

{{claim}}

is",promptsource,English,reading comprehension,Writing/Expression,argumentation,all
claim explanation classification,Claim evaluation,"The claim is:
{{claim}}

and the explanation is:
{{explanation}}.

Given the above, this claim is:",promptsource,English,closed-ended question,Informational/Identification,fact checking,all
claim explanation generation I because,Claim justification,"I  {{[""could not conclude"", ""could not say for sure"", ""could conclude"", ""do not think it has been proven yet""][label]}}:

{{claim}}

from:

{{main_text}}

because of:",promptsource,English,reading comprehension,Writing/Expression,fact checking,all
claim veracity classification tell me,Reading Comprehension,"Tell me whether the following claim is {{answer_choices[0]}}, {{answer_choices[1]}}, {{answer_choices[2]}}, or {{answer_choices[3]}} after reading the passage.

Claim: {{claim}}

Passage: {{main_text }}",promptsource,English,reading comprehension,Informational/Identification,reading comprehension,all
complete first then,Complete the description,"Complete the description with an appropriate ending:
First, {{ ctx_a.lower() }} Then, {{ ctx_b.lower() }} ...

(a) {{ answer_choices[0] }}

(b) {{ answer_choices[1] }}

(c) {{ answer_choices[2] }}

(d) {{ answer_choices[3] }}",promptsource,English,multiple choice,Writing/Expression,reading comprehension,all
Topic without the ending answer,Topic of sentence,What is the topic of the sentence: {{ctx}},promptsource,English,reading comprehension,Informational/Identification,topic,all
Open ended completion,Fill in the blank,Complete the sentence: {{ctx}},promptsource,English,cloze,Writing/Expression,cloze,all
Appropriate continuation   Yes or No,NLI binary,"Consider the following description: {{ ctx_a }}
Is the following an appropriate continuation?
{{ ctx_b }} {{ endings[instance] }}
Yes or No?",promptsource,English,closed-ended question,Writing/Expression,story continuation,all
Predict ending with hint,Fill in the blank,"How does this sentence end?
{{ctx}}

(a)  {{answer_choices[0]}}

(b)  {{answer_choices[1]}}

(c)  {{answer_choices[2]}}

(d)  {{answer_choices[3]}}

Hint: the topic of the sentence is {{activity_label}}",promptsource,English,cloze,Informational/Identification,reading comprehension,all
Reversed appropriate continuation   Yes or No,Text continuation,"Consider the following text: {{ ctx_b }} {{ endings[instance] }}
Is it an appropriate continuation of the following text:
{{ ctx_a }} ?
Yes or No?",promptsource,English,reading comprehension,Writing/Expression,text generation,all
how ends,Write a description,"{{ ctx }}...
How does the description likely end?

Ending 1: {{ endings[0] }}

Ending 2: {{ endings[1] }}

Ending 3: {{ endings[2] }}

Ending 4: {{ endings[3] }}",promptsource,English,multiple choice,Writing/Expression,story ending,all
if begins how continues,Story completion,"If a description of a situation begins like this: {{ ctx }}... Then how
does it continue?

Ending 1: {{ endings[0] }}

Ending 2: {{ endings[1] }}

Ending 3: {{ endings[2] }}

Ending 4: {{ endings[3] }}",promptsource,English,multiple choice,Writing/Expression,story continuation,all
is same event with time interrogative related,Event relation,"On {{date_a}}, the article ""{{headline_a}}"" is published.
On {{date_b}}, the article ""{{headline_b}}"" is published.
Are they related to the same event? Answer {{ answer_choices[0] }} or {{ answer_choices[1] }}.",promptsource,English,closed-ended question,Informational/Identification,news,news
is same event interrogative talk,Same event,"Do the following headlines talk about the same event?
{{headline_a}}
{{headline_b}}",promptsource,English,closed-ended question,Informational/Identification,news,news
